SKU*,Parent SKU,Name,Brand,Description(No html),Features,Specifications,Specifics,Date Added,In Stock,In Promotion,UPC/EAN,Type,"All Variation SKUs (Delimited by “,”)",Image URL,Product URL,RRP,"Current Price (A - if on promotion, promotion price used)",Product Category Full Path List,PreezieGroupId
10001-001,,Crocs Classic Unisex Clogs - Black,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.","<ul>
	<li>Incredibly light and fun to wear</li>
	<li>Water-friendly and buoyant; weighs only ounces</li>
	<li>Ventilation ports add breathability and help shed water and debris</li>
	<li>Easy to clean and quick to dry</li>
	<li>Pivoting heel straps for a more secure fit</li>
	<li>Customizable with Jibbitz&nbsp;charms</li>
	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li>
</ul>
",,Best Use:Everyday;Gender:Unisex,9/2/2023 00:00,y,1,,Sandals,"10001-001-M10W12,10001-001-M11,10001-001-M12,10001-001-M13,10001-001-M14,10001-001-M4W6,10001-001-M5W7,10001-001-M6W8,10001-001-M7W9,10001-001-M8W10,10001-001-M9W11",https://www.wildearth.com.au/assets/full/10001-001.jpg,https://www.wildearth.com.au/buy/crocs-classic-unisex-clogs-black/10001-001,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M10W12,10001-001,Crocs Classic Unisex Clogs - Black - US M10/W12,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.","<ul>
	<li>Incredibly light and fun to wear</li>
	<li>Water-friendly and buoyant; weighs only ounces</li>
	<li>Ventilation ports add breathability and help shed water and debris</li>
	<li>Easy to clean and quick to dry</li>
	<li>Pivoting heel straps for a more secure fit</li>
	<li>Customizable with Jibbitz&nbsp;charms</li>
	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li>
</ul>
",,Size:US10;Best Use:Everyday;Gender:Unisex;Colour:Black,3/4/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M10W12.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m10-w12/10001-001-M10W12,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts for Him;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M11,10001-001,Crocs Classic Unisex Clogs - Black - US M11,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US11;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M11.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m11/10001-001-M11,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M12,10001-001,Crocs Classic Unisex Clogs - Black - US M12,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US12;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M12.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m12/10001-001-M12,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M13,10001-001,Crocs Classic Unisex Clogs - Black - US M13,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US13;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M13.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m13/10001-001-M13,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M14,10001-001,Crocs Classic Unisex Clogs - Black - US M14,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US14;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.84E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M14.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m14/10001-001-M14,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M4W6,10001-001,Crocs Classic Unisex Clogs - Black - US M4/W6,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US4;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M4W6.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m4-w6/10001-001-M4W6,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M5W7,10001-001,Crocs Classic Unisex Clogs - Black - US M5/W7,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US5;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M5W7.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m5-w7/10001-001-M5W7,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M6W8,10001-001,Crocs Classic Unisex Clogs - Black - US M6/W8,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US6;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M6W8.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m6-w8/10001-001-M6W8,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
10001-001-M7W9,10001-001,Crocs Classic Unisex Clogs - Black - US M7/W9,Crocs,"Original. Versatile. Comfortable. It&#39;s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you&#39;re sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort, a color for every personality, and an ongoing invitation to be comfortable in your own shoes.",<ul> 	<li>Incredibly light and fun to wear</li> 	<li>Water-friendly and buoyant; weighs only ounces</li> 	<li>Ventilation ports add breathability and help shed water and debris</li> 	<li>Easy to clean and quick to dry</li> 	<li>Pivoting heel straps for a more secure fit</li> 	<li>Customizable with Jibbitz&nbsp;charms</li> 	<li>Iconic Crocs Comfort: Lightweight. Flexible. 360-degree comfort.</li> </ul> ,,Size:US7;Best Use:Everyday;Gender:Unisex;Colour:Black,9/2/2023 00:00,y,1,8.41E+11,Sandals,,https://www.wildearth.com.au/assets/full/10001-001-M7W9.jpg,https://www.wildearth.com.au/buy/crocs-classic-black-m7-w9/10001-001-M7W9,79.99,72.95,All Products > Footwear > Shoes > Casual Shoes;All Products > Gifts under $100;All Products > Footwear > Shoes > Water Shoes,10001-001
